LAST NAME,FIRST NAME,EMAIL,ZIPCODE,CITY,STATE,ADDRESS,PHONE
Hartzell,Amanda,nqm17@jumpstartlab.com,14841,Valois,NY,3515 School St,607-280-2000
Stitt,Matthew,idnjamin_Mandel@jumpstartlab.com,12571,Red Hook,NY,21 Fruitbud Dr.,(845) 853-2000
Martino,Ashley Morgan,umhasse@jumpstartlab.com,11787,Smithtown,NY,15 Mike Ln,631.656.6000
Paglierani,James,gif32@jumpstartlab.com,501,Holtsville,NY,402 Basetdale Ave,(626) 336-5000
Grunow,Jordan,svperry3@jumpstartlab.com,14454,Geneseo,NY,"Box 3771, 10 MacVittie Circle",631-513-8000
Klimas,Tannis Ruth,mwliemar@jumpstartlab.com,10577,Purchase,NY,"mailbox 0668  , 735 anderson hill road",9148605000
Kemp,Katherine,yuthatcher@jumpstartlab.com,13502,Deerfield,NY,102 Wells Drive,315-272-7000
Dillie,Marysa,jearrjones@jumpstartlab.com,13619,carthage,NY,30 1/2 N.Main St.,3157670000
Landry,Emma,sdmothydht@jumpstartlab.com,14075,Hamburg,NY,76 Robert street,(716)983-0000
Doe,Robin,ij340406@jumpstartlab.com,14450,Fairport,NY,72 Little Briggins Cr.,585-315-6000
Mufson,Patrick,jmh17@jumpstartlab.com,14437,Dansville,NY,31 Elizabeth St.,585-315-6000
Benjamin,Katherine,oarnandl@jumpstartlab.com,13035,Cazenovia,NY,1505 Owahgena Terrace,3153914000
Fox,Heidi,pbutzcr@jumpstartlab.com,14738,Frewsburg,NY,286 Bragg rd,716-485-3000
Nace,Andrew,oposema1@jumpstartlab.com,14052,east aurora,NY,2941 west blood rd.,716.359.1000
McCullough,Autumn,xlthurkr222@jumpstartlab.com,11211,Brooklyn,NY,59 Grand Street,2127513000
Zhu,Ashton,uhana.urbach@jumpstartlab.com,13078,Jamesville,NY,3435 Ransom Rd.,315-420-7000
Hai,Anjali,swcohen@jumpstartlab.com,14850,Ithaca,NY,510 E. Seneca St. Apt 1A,607-262-0000
Detweiler,Abdulwahab,ejlintof@jumpstartlab.com,13601,Watertown,NY,127 Park Ave,3157719000
Nance,Dannielle,mwlarycoleen@jumpstartlab.com,14850,Ithaca,NY,409 Hanshaw Rd.,607 266 0000
Peng,Chenchen,lfeng@jumpstartlab.com,14850,Ithaca,NY,116 W. Clinton St. Apt. D,585 415 4000
Schafer,Shiquita,puacmill@jumpstartlab.com,13209,Syracuse,NY,714 State Fair Blvd,315-481-1000
Haber,Hila,vhh10@jumpstartlab.com,10012,new york,NY,88 bleecker st,646 831 5000
York,Jonathan,qirater1@jumpstartlab.com,11201,Brooklyn,NY,170 joralemon st.,718 250 000
Spelke,X,cxacconn@jumpstartlab.com,11215,Brooklyn,NY,15 Howard Pl.,718 250 000
